Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Botswana,BWA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,0.029727692,0.06704846,0.110958137,0.227291731,0.69500647,0.878816485,0.900512023,0.980861921,0.988861533,0.974960457,1.026927321,0.929601493,0.911787158,0.978149794,1.081756879,1.216267477,1.240912314,1.321107009,1.573942563,1.508488866,2.250150846,2.331304063,2.271602373,2.225507798,1.936442505,1.938210962,2.264586195,2.055736369,2.435788364,2.430479957,2.479160033,2.327139772,2.360654518,2.459256692,2.450541261,2.454639677,2.575237664,2.252753604,2.657137083,,,
Central African Republic,CAF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.058535378,0.05755057,0.047113813,0.046248971,0.045369205,0.05337603,0.05011724,0.053344141,0.104457459,0.10435343,0.114298604,0.098324436,0.088748938,0.083283995,0.057531263,0.050895741,0.062254441,0.060869161,0.06793927,0.046375853,0.046762902,0.057981314,0.059313978,0.059040365,0.058822678,0.06151303,0.060109961,0.094996256,0.082649924,0.087444119,0.06798145,0.068919596,0.070917064,0.071576542,0.073325495,0.071645254,0.070049867,0.071739607,0.071282453,0.073966185,0.073575522,0.066329918,0.065217103,0.061282064,0.054624582,0.053696423,0.056385974,0.057144847,0.056076955,0.055010411,0.060696275,,,
Canada,CAN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,10.77084729,10.62789765,11.13062748,11.1321024,12.3053704,12.81400147,12.93491815,13.8103546,14.6326452,14.61864861,16.01414875,16.29009027,17.329425,17.05995183,17.12344306,17.11161334,16.97924845,16.7328064,16.88412756,17.61631211,17.42559354,16.71091663,15.88310662,15.6020363,15.82422784,15.4905377,14.77715356,15.50857861,16.14952526,16.08422623,16.195048,15.93988907,16.39745621,16.57521986,15.6118822,15.6636391,15.76857333,16.11466202,17.09934736,16.89930178,17.37045161,16.91306255,16.55388237,17.46386176,17.26361022,17.42608062,16.89360819,17.05189953,16.39230563,15.28276013,14.67823409,,,
Switzerland,CHE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.664365979,3.751824984,4.332914171,5.110651505,4.865282038,5.185731956,5.327000396,5.43398887,5.937701579,6.208288851,6.519570443,6.750434987,6.863739819,7.334759289,6.541311271,6.168137541,6.423427895,6.540985491,6.720778708,6.340850586,6.414949786,6.11563526,5.73116759,6.242518469,6.08124526,6.155338532,6.502824669,6.150039281,6.174526108,5.937782989,6.382762524,6.176218658,6.263704438,5.875009386,5.908059358,5.572358635,5.646324936,5.849483122,5.883187499,5.697100262,5.435484985,5.942384452,5.589533097,5.478264412,5.466042594,5.563281057,5.595605199,5.034944631,5.281605848,5.371817644,4.952967888,,,
Channel Islands,CHI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.763739985,1.844776647,2.078259351,2.103237167,2.072680327,2.052977726,2.124083539,2.131317066,2.301987209,2.399364409,2.574845001,2.777497214,2.839188846,2.737796403,2.528182658,2.207283565,2.278098491,2.153770491,2.109520356,2.253796477,2.25739485,2.16085178,1.785965892,1.776353189,1.861379648,1.773181003,1.804105013,1.80787196,2.110729833,2.494943699,2.583897221,2.391531929,2.430579029,2.541452739,2.737718067,2.940181659,3.309030704,3.776854236,3.829176411,3.988277975,3.797882442,3.373371321,3.499517811,3.443330684,3.71389349,3.778383301,3.901505829,4.268698123,4.231677403,3.958834795,4.213121459,,,
China,CHN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.170381372,0.836046901,0.661428164,0.640001899,0.625646054,0.665524211,0.710891382,0.574162147,0.605451997,0.725149509,0.942934535,1.042239697,1.080676637,1.098195691,1.097367111,1.250124095,1.285283136,1.388842897,1.52920111,1.542675099,1.495250749,1.460431817,1.566739684,1.629055908,1.75044806,1.871054791,1.939434257,2.038410689,2.150905225,2.153077911,2.167703077,2.245901276,2.31420729,2.442800659,2.565993892,2.755754966,2.844309582,2.820567891,2.67674598,2.648649247,2.696862433,2.742120813,2.885225041,3.512245428,4.080138906,4.441150695,4.892727098,5.153564017,5.311151855,5.778143184,6.194857575,,,
Cote d'Ivoire,CIV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.132972288,0.153721674,0.156855909,0.160260308,0.188344991,0.27808355,0.294189799,0.324270273,0.367893244,0.416391703,0.465902722,0.49315711,0.524437451,0.53286982,0.564472595,0.603914238,0.573153743,0.560410888,0.63661243,0.685493852,0.75287183,0.517533714,0.67845289,0.515695041,0.553153533,0.721268183,0.565859209,0.702952011,0.809462158,0.727693368,0.478509395,0.449811964,0.357044922,0.440576379,0.380549063,0.501659934,0.572640179,0.543389312,0.447789877,0.396583005,0.42099958,0.470541267,0.4369616,0.322899306,0.44703014,0.449889657,0.396131288,0.383471815,0.376338524,0.314826694,0.305895928,,,
Cameroon,CMR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.050613584,0.051577046,0.051788526,0.052576832,0.057664585,0.052056133,0.056222241,0.072981015,0.078613276,0.086668255,0.094234398,0.116624672,0.120787752,0.122602408,0.129543206,0.150182114,0.137290785,0.191235906,0.237627774,0.210964199,0.43722594,0.580668865,0.669143785,0.674434462,0.601530825,0.623818598,0.187436983,0.168200107,0.194470042,0.651905547,0.144002179,0.089386219,0.296584756,0.29599422,0.281786495,0.313270864,0.321443137,0.218632529,0.212380482,0.198552849,0.215493084,0.209248864,0.203648852,0.220361375,0.223858668,0.203792602,0.205693153,0.305492511,0.282954664,0.33197166,0.350798617,,,
Republic of the Congo,COG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.220689812,0.257405588,0.223264758,0.21403999,0.237615317,0.212184074,0.258754864,0.263600251,0.358141297,0.387546613,0.428474485,0.498394477,0.467889177,0.834795289,1.077242042,0.707959248,0.772219497,0.291611223,0.190342042,0.199645027,0.226583323,0.255703065,0.706298536,0.583020065,0.564479717,0.615601704,0.499088906,0.602262031,0.663986612,0.6494914,0.498517381,0.517002313,0.626296322,0.598740548,0.811559862,0.575531136,0.613444801,0.814086834,0.262516137,0.269805587,0.335474588,0.26882185,0.215527273,0.32271695,0.342365669,0.410909865,0.367036568,0.382420405,0.380276927,0.471782007,0.493188609,,,
